'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2026,'M1',1.0,16353.232249998131,42586.46299999721,34404.129499997434,9954.037750000753,77436.94349999446,16083.823499999635,12610.319999999989,49318.39524999478,23376.5347499964,24759.019749997726,22828.68149999898,26875.667499998704,14511.966500000379,47551.23674999198,182571.93749999587,137952.92699998565,371099.21475005127,551264.6440009023,1995612.4320122236
2026,'M1',0.5,16361.278749998126,42639.21224999721,34368.84624999743,9898.394500000746,77488.76924999445,16121.884499999633,12645.974499999958,49230.722999994774,23397.0537499964,24696.867749997713,22837.42924999898,26896.880499998697,14492.206500000371,47572.889249991975,182398.64124999594,138080.8767499856,371075.5207500512,550818.7340008847,1996340.1607622297
2027,'M1',1.0,15798.621249998287,42402.53649999731,34402.26174999742,9856.297750000762,77537.01374999445,15861.173249999725,12366.877999999972,48419.41374999492,22117.05649999651,24427.63849999769,22866.021249998958,26880.2849999987,14515.104500000378,45878.89199999238,181874.02299999603,136681.20399998606,367450.3017500483,594497.4460026098,2180753.5567609575
2027,'M1',0.5,15787.050999998291,42493.9567499973,34358.90399999742,9815.06050000075,77592.37899999446,16010.126249999677,12300.246749999968,48296.25199999492,21946.76274999653,24407.69699999769,22818.952249998983,26901.899499998693,14494.604750000371,45979.01874999237,181654.759499996,136567.0007499861,367223.8925000484,593849.7800025842,2181405.047260941
2027,'M1',0.1,15749.853249998307,42366.49424999732,34370.618499997414,9853.49475000076,77537.47249999446,15919.710499999695,12361.04299999998,48488.8009999949,22121.136499996515,24397.740749997683,22873.782249998956,26881.95674999871,14491.488000000372,45946.821249992354,181814.334499996,136643.18424998605,367413.59200004925,594112.9400025946,2182035.745510925
2027,'M1',0.2,15822.410999998272,42393.3732499973,34404.366249997416,9851.929250000758,77600.96524999445,15883.339249999714,12364.967999999966,48401.24374999493,22042.28924999654,24390.916499997693,22843.79049999897,26898.9159999987,14461.665000000372,45878.95799999238,181801.99249999603,136656.1092499861,367360.1732500488,594001.8280025902,2181086.232760949
2028,'M1',0.1,15739.898999998308,30742.745999998133,34409.73524999741,9856.41875000076,55403.69674999637,16092.771999999637,12344.639249999978,43613.18024999501,22108.769749996518,21500.311249997867,22874.77699999896,26885.83449999871,14497.024250000373,46088.90099999235,144951.92099999095,132137.55274998638,326069.80400004174,637201.0040042964,2326091.384257286
2028,'M1',0.5,15783.341499998294,30965.354499998113,34403.35699999741,9800.440500000754,56054.64774999632,16112.418249999639,12350.484749999974,43501.67799999502,22057.709749996542,21672.44524999786,22841.728249998974,26905.777249998693,14497.742750000372,46108.67199999237,145850.96799999085,132068.33324998638,326947.1255000413,636769.7140042793,2326375.5450072787
2028,'M1',0.2,15787.829499998285,30746.23424999813,34460.68499999741,9846.08125000076,55571.150749996355,16091.054499999642,12386.006999999965,43766.099249995015,22112.085999996543,21619.724999997874,22880.44774999896,26902.7937499987,14461.665000000372,46094.83624999237,145342.8582499909,132261.15074998638,326631.85900004214,637088.4300042919,2325710.1930072955
2028,'M1',1.0,15778.467999998293,30470.867999998154,34462.25474999742,9843.139750000764,55936.905749996324,16068.48699999964,12339.791749999977,43463.81599999498,22087.926499996538,21338.692749997892,22857.555499998973,26883.4229999987,14515.104500000378,46021.20924999238,145097.25649999097,132015.7459999864,326046.433250041,637579.6620043113,2324726.0265073203
