'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2030,'M1',0.5,15313.441749998321,39512.05965000016,34503.5909999974,9764.880000000745,74701.95664999628,15804.93024999965,12406.949999999977,49235.286999994605,22843.051499996447,24360.388499997473,22870.935999998845,26946.273499998697,14446.45350000038,44872.082249992556,178369.2069999952,136452.72729998725,362710.19930015906,706995.129607048,2702578.0411490668
2031,'M1',0.1,15288.786249998311,36854.40517999717,34564.21724999739,9858.357250000752,72538.21777999445,15809.246749999662,12781.843999999955,49487.390999994714,22147.89294999646,25986.99674999739,22876.46499999885,26880.79399999873,14521.526000000384,44967.85624999255,174311.70705000035,137300.3941099846,359596.1401600254,750876.1239287695,2884903.063555518
2031,'M1',1.0,15259.393499998328,36785.76029999714,34562.153749997386,9850.359500000754,72516.05895999442,15815.048249999658,12854.118249999958,49682.88624999443,22339.07381999648,25177.979499997506,22860.136499998855,26986.702749998698,14448.190000000373,45039.04974999251,173699.37522000042,137390.18435998456,359137.86133003235,750351.4998487489,2876890.007635698
2031,'M1',0.2,15293.41624999832,36822.32333999715,34572.25424999738,9867.67900000075,72479.87609999445,15815.40049999966,12884.387749999954,49801.12024999444,22333.852019996484,25122.881749997498,22841.17199999886,26964.7764999987,14458.621000000372,45055.614749992485,173967.61521000022,137225.2787499846,359257.76071003085,750890.4515287703,2878910.4598756693
2031,'M1',0.5,15332.508749998311,36849.52824999711,34572.14924999739,9830.670000000751,72372.07227999446,15803.72574999965,12886.485999999964,49855.51424999442,22316.6189999965,25107.068999997515,22855.06799999886,26949.4114999987,14449.59150000038,45077.720999992496,173805.31596000036,137288.1245699846,359180.4135300319,750820.8018487677,2879846.9428156237
2032,'M1',0.1,15262.75374999832,24864.796197999414,34526.1169999974,9787.24150000074,53344.49035799688,15797.973499999658,12236.98849999999,48377.920749994744,22610.69650999643,21732.050249997617,22864.768999998858,26888.660999998727,14524.664000000384,44712.096749992605,144589.87014398418,130577.21092198658,322819.1223160835,792419.8363944,3031522.1372197927
2032,'M1',0.5,15294.664999998324,24868.137213999406,34532.329499997395,9733.743500000743,53921.1500679968,15796.92824999965,12325.946499999971,48708.34924999449,22794.034699996468,20761.333249997708,22879.92199999884,26949.4114999987,14449.59150000038,44714.1502499926,144897.7095979843,130449.87638398653,323015.54223208636,792409.1930343997,3023355.440433976
2032,'M1',1.0,15243.078249998332,24654.082573999378,34541.48399999739,9749.21225000074,53542.45041199682,15796.844249999658,12363.703999999967,48528.9894999945,22804.703699996462,21028.892999997686,22864.736499998857,26989.840749998697,14451.328000000374,44731.608749992614,144347.53125198447,130498.67818398651,322559.34718608647,791848.5335783772,3019903.7051500627
2032,'M1',0.2,15278.268249998324,24703.47042799941,34523.241249997394,9795.804750000747,53550.38613999684,15802.19799999966,12350.44399999998,48702.098249994495,22814.421759996454,20788.627999997705,22825.089999998872,26964.7764999987,14458.621000000372,44739.75649999258,144372.4777039844,130512.20037398653,322557.4483280878,792449.5325384013,3022023.904744032
2033,'M1',1.0,15345.6672499983,32458.513466399207,34592.329749997385,9805.037500000748,69201.72216359647,15809.902749999657,12375.267749999972,49836.44974999432,22997.011409996398,24447.04949999747,23032.34074999877,26989.840749998697,14451.328000000374,45204.124749992494,168544.96619517694,134570.2563447862,351342.4607900692,833826.8062456229,3191383.645204075
2033,'M1',0.5,15414.289249998288,32512.689683199227,34599.84224999739,9760.708000000745,69059.3323283965,15804.51799999965,12391.081999999973,49978.91299999431,22977.622159996405,24326.83249999748,23023.19799999877,26952.5494999987,14449.59150000038,45180.8424999925,168649.80629357693,134397.40587798622,351251.1681716688,834420.7033944457,3194835.3804879882
2033,'M1',0.1,15389.037999998283,32519.575343599223,34590.64249999739,9800.723750000747,69317.41385759655,15807.640749999662,12300.123749999973,49714.73124999456,22778.215907996382,25308.409749997383,23021.20299999878,26888.660999998727,14527.802000000385,45168.544499992524,169286.8270403765,134485.69581878622,351964.1808592639,834470.5564248475,3206947.0379953007
2033,'M1',0.2,15365.246249998296,32469.570950799214,34593.99874999739,9807.737000000749,69136.7725223965,15817.65474999966,12436.212749999973,50011.80124999431,22966.669407996396,24393.156249997468,23004.91599999878,26967.9144999987,14458.621000000372,45231.71149999247,168781.3851479767,134394.06123318628,351430.271381269,834527.1510296513,3193616.1007696367
2034,'M1',1.0,15291.821749998317,31324.51586695922,34606.65674999739,9797.727500000752,68084.42664967662,15810.437499999658,12602.617499999957,50772.090749994015,22843.740777996456,25178.0494999975,23032.34074999877,26992.9787499987,14451.328000000374,45455.05274999238,166644.35952495053,135666.20626966588,350788.7320447564,877674.5886057639,3360604.2960469075
2034,'M1',0.1,15294.57774999831,31393.93077815922,34601.64174999739,9798.013750000742,68200.75398143665,15803.699749999661,12541.353749999973,50651.50899999424,22690.12372639641,26004.321749997383,23022.66499999878,26888.660999998727,14530.940000000386,45373.9394999924,167401.0896276704,135624.0493583059,351422.19198611384,878331.4967849889,3380167.8227653103
2034,'M1',0.5,15276.92224999833,31389.72468167923,34608.15749999739,9792.872000000749,67942.60458151664,15807.655999999652,12619.153999999964,50899.97749999401,22853.915777996455,25106.73749999751,23023.19799999877,26955.687499998698,14449.59150000038,45386.599249992374,166740.54075367053,135575.94528750586,350726.1987913163,878296.2885501076,3364076.82358082
2034,'M1',0.2,15290.175999998319,31339.153849759223,34603.05374999739,9778.497000000747,67982.55841327664,15817.25324999966,12626.272749999955,50877.30974999403,22892.380226396424,25125.618249997497,23006.37799999878,26967.9144999987,14458.621000000372,45401.16274999238,166833.96011375057,135506.9503756659,350765.18673955754,878350.0545942714,3362927.942539745
2035,'M1',0.5,15081.503249998383,29964.41332366096,34616.07124999739,9757.258250000745,67036.39465281197,15801.71824999965,12427.631999999974,50148.95999999414,22881.492722396444,24392.47849999748,23023.19799999877,26955.687499998698,14449.59150000038,44626.69199999262,165236.51649052955,133650.077208321,346536.3991988249,919733.288021701,3531709.0547551326
2035,'M1',0.1,15119.89499999836,29922.47856442898,34609.96774999739,9817.019750000745,67319.38388514788,15802.23774999966,12317.667749999979,49908.994249994365,22718.5212311164,25308.409749997387,23022.66499999878,26888.660999998727,14530.940000000386,44648.181499992636,165951.1569521294,133671.320478545,347286.8416806414,919782.4917837511,3551838.7818313516
2035,'M1',0.2,15126.85099999836,29888.926499260982,34611.78124999739,9793.963500000755,67077.81628061998,15818.92924999966,12380.656749999966,50128.43549999417,22919.232981116416,24441.402249997467,23004.91599999878,26967.9144999987,14458.621000000372,44683.49724999259,165322.2876909935,133597.47906998504,346619.44676095183,919807.7632841694,3530592.9281058875
2035,'M1',1.0,15098.008749998375,29865.051781324975,34618.58549999739,9802.113500000747,67182.52775733995,15809.501249999657,12367.23549999997,49988.52999999416,22917.66397239643,24451.43549999746,23031.09274999877,26992.9787499987,14451.328000000374,44683.848499992615,165140.61855755353,133735.40320348903,346576.0530110172,919059.7507503787,3528229.5964712203
2036,'M1',0.2,15275.697749998322,29009.686422012597,34580.932749997395,9792.715500000748,66374.59357152581,15798.136999999659,12371.884749999961,50969.83799999392,21781.02593489255,24428.244249997464,22806.46324999888,26967.9144999987,14461.019250000372,45294.04249999241,163329.20979981733,132978.71787858906,344618.15292850876,961861.4708472989,3695795.468808018
2036,'M1',0.5,15326.518999998307,29049.051809798195,34572.7039999974,9787.113750000744,66360.62054358023,15776.072749999665,12405.701999999974,51005.0047499939,21819.64478799656,24399.386999997478,22855.06799999885,26955.687499998698,14449.59150000038,45281.12224999243,163336.5591738271,133121.3724675234,344762.16739145346,961876.4841884564,3696989.3531937967
