climat_code,Nam,thang,tmax_avg,tmax_max,pre_min
2,2026,5,34.02,38.67,0
2,2026,6,32.7,35.24,79.2
2,2026,7,31.99,33.77,47.4
2,2026,8,31.36,35.24,21.6
2,2026,9,31.34,33.17,89.7
2,2026,10,31.69,33.18,121.2
2,2026,11,31.66,33.48,24.6
2,2026,12,30.61,31.89,0
2,2027,1,31.52,33.91,0
2,2027,2,32.2,33.93,0
2,2027,3,33.98,36.22,0
2,2027,4,35.06,40.28,0
2,2027,5,34.06,39.58,30.3
2,2027,6,32.78,35.47,32.1
2,2027,7,31.78,33.45,53.1
2,2027,8,31.54,33.63,35.4
2,2027,9,31.39,34.07,0
2,2027,10,31.64,33.42,111
2,2027,11,31.87,34.07,23.1
2,2027,12,31.08,33.49,0
2,2028,1,31.53,34.99,0
2,2028,2,32.47,34.42,0
2,2028,3,34,37.27,0
2,2028,4,35,38.71,0
2,2028,5,34.17,38.77,12.9
2,2028,6,32.91,35.55,45.3
2,2028,7,31.95,33.71,64.5
2,2028,8,31.67,33.04,38.7
2,2028,9,31.43,33.02,0
2,2028,10,31.72,33.41,0
2,2028,11,31.75,35.32,6
2,2028,12,31.3,33.04,0
2,2029,1,31.69,34.81,0
2,2029,2,33.06,36.58,0
2,2029,3,34.25,37.5,0
2,2029,4,35.53,40.95,0
2,2029,5,34.5,38.05,0
2,2029,6,33.29,35.5,52.2
2,2029,7,32.14,33.91,34.5
2,2029,8,31.58,34.54,29.1
2,2029,9,31.35,33.52,84.3
2,2029,10,31.62,34.17,136.2
2,2029,11,31.49,35.13,0
2,2029,12,31.03,33.42,0
2,2030,1,31.61,34.3,0
2,2030,2,32.05,35.44,0
2,2030,3,33.8,37.47,0
2,2030,4,35.07,40.42,0.6
2,2030,5,34.41,40.76,36.3
2,2030,6,32.64,34.83,0
2,2030,7,32.35,35.99,0
2,2030,8,31.48,33.54,0
2,2030,9,31.74,34.03,0
2,2030,10,31.59,35.13,101.7
2,2030,11,31.42,33.95,6.6
2,2030,12,31.03,34.29,0
2,2031,1,31.29,33.86,0
2,2031,2,32.48,34.43,0
2,2031,3,33.83,36.22,0
2,2031,4,35.21,39.82,0
2,2031,5,34.6,38.62,0
2,2031,6,32.77,36.11,0
2,2031,7,31.71,34.94,67.2
2,2031,8,31.58,34.18,36.3
2,2031,9,31.43,33.39,121.8
2,2031,10,31.8,33.95,121.2
2,2031,11,31.74,33.43,34.5
2,2031,12,30.96,33.11,0.3
2,2032,1,31.51,33.96,0
2,2032,2,32.48,34.41,0
2,2032,3,34.26,36.73,0
2,2032,4,35,39.96,0
2,2032,5,34.83,38.98,0
2,2032,6,32.8,34.46,0
2,2032,7,32.31,34.01,36.3
2,2032,8,31.78,34.64,50.7
2,2032,9,31.68,33.28,44.1
2,2032,10,31.79,33.53,33.6
2,2032,11,32.08,34.44,0
2,2032,12,31.11,34.12,0
2,2033,1,31.54,34.9,0
2,2033,2,32.85,34.89,0
2,2033,3,34.24,37.07,0
2,2033,4,35.24,38.9,0.6
2,2033,5,34.9,37.69,20.1
2,2033,6,33.2,35.52,57.9
2,2033,7,32.32,36.23,56.4
2,2033,8,31.54,34.39,30.9
2,2033,9,31.79,33.06,103.5
2,2033,10,31.71,32.87,93.6
2,2033,11,31.96,33.42,0
2,2033,12,31.2,34.81,0
2,2034,1,31.56,33.18,0
2,2034,2,32.68,34.46,0
2,2034,3,34.24,36.54,0
2,2034,4,35.22,40.73,0.6
2,2034,5,34.61,38.31,20.4
2,2034,6,33.08,35.12,30.3
2,2034,7,32.53,34.99,28.2
2,2034,8,31.41,33.28,35.4
2,2034,9,31.51,33.62,90.9
2,2034,10,31.66,32.59,132.3
2,2034,11,31.75,34.23,0
2,2034,12,31.07,33.82,0.6
2,2035,1,31.54,33.26,0
2,2035,2,32.47,35.37,0
2,2035,3,34.3,37.37,0
2,2035,4,35.45,41.66,0
2,2035,5,34.41,39.47,0
2,2035,6,32.7,36.15,49.5
2,2035,7,31.76,34.09,46.8
2,2035,8,31.78,34.41,18.3
2,2035,9,31.77,33.35,34.2
2,2035,10,31.94,33.88,12.9
2,2035,11,31.97,33.56,34.2
2,2035,12,30.99,33.58,0
2,2036,1,31.38,33.73,0
2,2036,2,32.59,36.18,0
2,2036,3,34.1,36.54,0
2,2036,4,35.21,40.76,0
2,2036,5,34.18,37.85,32.4
2,2036,6,33.18,36.29,36.9
2,2036,7,32.24,34.61,0
2,2036,8,31.87,34.62,26.7
2,2036,9,31.53,33.45,119.7
2,2036,10,32.13,33.92,116.7
2,2036,11,31.97,33.34,0
2,2036,12,31.13,33.28,0
2,2037,1,31.85,34.51,0
